date;account;category;amount;currency;converted amount;currency;description
06/05/2016;БПС *6265;Зарплата;273;BYN;273;BYN;
01/07/2016;БПС *6265;To 'БГПбVisa*9727';-616.56;BYN;-616.56;BYN;
01/07/2016;БГПбVisa*9727;From 'БПС *6265';616.56;BYN;616.56;BYN;
07/07/2016;БПС *6265;Зарплата;569.72;BYN;569.72;BYN;
09/07/2016;БПС *6265;"Хоз расх;Гигиена";-51.85;BYN;-51.85;BYN;
14/07/2016;БПС *6265;Техника;-110;BYN;-110;BYN;
15/07/2016;.Наличные;Хоз расходы;-19;BYN;-19;BYN;
20/07/2016;БПС *6265;Зарплата;205;BYN;205;BYN;
21/07/2016;БПС *6265;Ребенок;-64;BYN;-64;BYN;
23/07/2016;БПС *6265;Коммунальные;-23;BYN;-23;BYN;
26/07/2016;БПС *6265;Счета;-123.4;BYN;-123.4;BYN;
29/07/2016;БГПбVisa*9727;Коммунальные;-6.3;BYN;-6.3;BYN;Интернет раб
29/07/2016;БГПбVisa*9727;Здоровье;-1.69;BYN;-1.69;BYN;Ибупрофен ФТ
29/07/2016;БГПбVisa*9727;"Питание;Овощи Фрукты";-28.5;BYN;-28.5;BYN;
29/07/2016;БГПбVisa*9727;Питание;-164.39;BYN;-164.39;BYN;
29/07/2016;БГПбVisa*9727;"Питание;Мясо";-70.32;BYN;-70.32;BYN;
29/07/2016;БГПбVisa*9727;Коммунальные;-13.16;BYN;-13.16;BYN;Интернет дом
31/07/2016;.Наличные;Транспорт;-26;BYN;-26;BYN;
01/08/2016;БПС *6265;Здоровье;-3.38;BYN;-3.38;BYN;
05/08/2016;БПС *6265;Зарплата;589.94;BYN;589.94;BYN;
05/08/2016;БПС *6265;Счета;-12.58;BYN;-12.58;BYN;
07/08/2016;БПС *6265;Зарплата;1 142;BYN;1 142;BYN;
15/08/2016;БПС *6265;Питание;-260;BYN;-260;BYN;
15/08/2016;БПС *6265;To 'БГПбVisa*9727';-100;BYN;-100;BYN;
15/08/2016;БПС *6265;To '.Наличные';-160;BYN;-160;BYN;
15/08/2016;БГПбVisa*9727;From 'БПС *6265';100;BYN;100;BYN;
15/08/2016;.Наличные;From 'БПС *6265';160;BYN;160;BYN;
17/08/2016;БПС *6265;Питание;-39.7;BYN;-39.7;BYN;
17/08/2016;БПС *6265;"Хоз расх;Гигиена";-56;BYN;-56;BYN;
17/08/2016;.Наличные;"Питание;Рыба";-21;BYN;-21;BYN;
18/08/2016;БПС *6265;Техника;-62;BYN;-62;BYN;
18/08/2016;.Наличные;Питание;-18.67;BYN;-18.67;BYN;
19/08/2016;БПС *6265;Зарплата;205;BYN;205;BYN;
21/08/2016;БПС *6265;Одежда;-50.3;BYN;-50.3;BYN;Обувь Лера
21/08/2016;БПС *6265;Одежда;-34;BYN;-34;BYN;Обувь Лера
21/08/2016;БПС *6265;Счета;-270;BYN;-270;BYN;
23/08/2016;БПС *6265;Коммунальные;-105;BYN;-105;BYN;
23/08/2016;БПС *6265;Транспорт;-21;BYN;-21;BYN;Поезд
24/08/2016;БПС *6265;Развлечения;-20;BYN;-20;BYN;Зоопарк
24/08/2016;БПС *6265;"Питание;Мясо";-37;BYN;-37;BYN;
25/08/2016;БПС *6265;Развлечения;-69.5;BYN;-69.5;BYN;Аквапарк
25/08/2016;БПС *6265;Зарплата;120;BYN;120;BYN;
25/08/2016;БПС *6265;Питание;-17;BYN;-17;BYN;
25/08/2016;БПС *6265;Ребенок;-47;BYN;-47;BYN;
25/08/2016;.Наличные;"Питание;Овощи Фрукты";-21;BYN;-21;BYN;
26/08/2016;БПС *6265;Питание;-8;BYN;-8;BYN;
26/08/2016;БПС *6265;Развлечения;-5;BYN;-5;BYN;Зоопарк
26/08/2016;БПС *6265;Развлечения;-46;BYN;-46;BYN;Дельфинарий
30/08/2016;БПС *6265;Счета;-123.6;BYN;-123.6;BYN;
30/08/2016;.Наличные;"Питание;Мясо";-41;BYN;-41;BYN;
31/08/2016;.Наличные;Транспорт;-108;BYN;-108;BYN;
31/08/2016;БГПбVisa*9727;Питание;-207;BYN;-207;BYN;
06/09/2016;БПС *6265;Зарплата;397.44;BYN;397.44;BYN;
07/09/2016;БПС *6265;Зарплата;390;BYN;390;BYN;
08/09/2016;БПС *6265;To '.Наличные';-100;BYN;-100;BYN;
08/09/2016;.Наличные;From 'БПС *6265';100;BYN;100;BYN;
09/09/2016;БПС *6265;Питание;-1.85;BYN;-1.85;BYN;
09/09/2016;БПС *6265;Питание;-7.27;BYN;-7.27;BYN;
09/09/2016;БПС *6265;Питание;-2.73;BYN;-2.73;BYN;
09/09/2016;БПС *6265;Питание;-76.7;BYN;-76.7;BYN;
14/09/2016;БПС *6265;Коммунальные;-16.74;BYN;-16.74;BYN;Интернет
14/09/2016;БПС *6265;"Питание;Мясо";-79.55;BYN;-79.55;BYN;
14/09/2016;БПС *6265;Питание;-4.79;BYN;-4.79;BYN;
14/09/2016;БПС *6265;Хоз расходы;-17.4;BYN;-17.4;BYN;
15/09/2016;БПС *6265;Питание;-5.23;BYN;-5.23;BYN;
16/09/2016;БПС *6265;Коммунальные;-54;BYN;-54;BYN;
16/09/2016;БПС *6265;Питание;-19.53;BYN;-19.53;BYN;
17/09/2016;.Наличные;"Питание;Рыба";-12;BYN;-12;BYN;
19/09/2016;БПС *6265;Ребенок;-45.18;BYN;-45.18;BYN;
19/09/2016;БПС *6265;"Хоз расх;Гигиена";-12.07;BYN;-12.07;BYN;
20/09/2016;БПС *6265;Зарплата;205;BYN;205;BYN;
20/09/2016;БПС *6265;Питание;-3.6;BYN;-3.6;BYN;
21/09/2016;БПС *6265;Питание;-8.52;BYN;-8.52;BYN;
22/09/2016;БПС *6265;Ремонт;-460;BYN;-460;BYN;
22/09/2016;.Наличные;"Питание;Овощи Фрукты";-12;BYN;-12;BYN;
23/09/2016;БГПбVisa*9727;Питание;-236.89;BYN;-236.89;BYN;
23/09/2016;БПС *6265;Коммунальные;-26;BYN;-26;BYN;
27/09/2016;БПС *6265;Счета;-123.05;BYN;-123.05;BYN;
30/09/2016;.Наличные;Транспорт;-34;BYN;-34;BYN;
06/10/2016;БПС *6265;Зарплата;164.99;BYN;164.99;BYN;
07/10/2016;БГПбVisa*9727;To '.Наличные';-135;BYN;-135;BYN;
07/10/2016;.Наличные;From 'БГПбVisa*9727';135;BYN;135;BYN;
11/10/2016;БПС *6265;Хоз расходы;-8;BYN;-8;BYN;
11/10/2016;.Наличные;"Питание;Мясо";-29;BYN;-29;BYN;
13/10/2016;БПС *6265;Одежда;-115;BYN;-115;BYN;
14/10/2016;БПС *6265;"Хоз расх;Гигиена";-21;BYN;-21;BYN;
20/10/2016;БПС *6265;Счета;-123.2;BYN;-123.2;BYN;
20/10/2016;БПС *6265;Зарплата;205;BYN;205;BYN;
20/10/2016;.Наличные;"Питание;Овощи Фрукты";-15;BYN;-15;BYN;
21/10/2016;БПС *6265;Коммунальные;-103;BYN;-103;BYN;
25/10/2016;БПС *6265;Ребенок;-58;BYN;-58;BYN;
